acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.283,0.0304,0.141,131.42700000000002,152320,1984-10-01,1984,10
0.946,0.0404,0.0369,75.518,327600,1984-01-01,1984,1
0.00239,0.0361,0.929,159.055,230880,1984-05-11,1984,5
0.0227,0.0367,0.624,104.696,200853,1984-01-01,1984,1
0.263,0.031,0.264,104.251,189240,1984-10-12,1984,10
0.0232,0.109,0.166,131.111,269150,1984-07-27,1984,7
0.000284,0.0437,0.966,134.813,113173,1984-07-24,1984,7
0.987,0.0857,0.5579999999999999,108.079,31467,1984-01-01,1984,1
8.809999999999999e-05,0.0606,0.227,85.74700000000001,268733,1984-06-24,1984,6
0.00469,0.0343,0.41,165.572,209040,1984-05-10,1984,5
0.00515,0.0265,0.635,126.593,233270,1984-11-05,1984,11
0.00649,0.227,0.409,121.711,252240,1984-01-01,1984,1
0.00615,0.0331,0.957,124.832,233825,1984-04-30,1984,4
0.593,0.0526,0.895,110.68,168280,1984-01-01,1984,1
0.00903,0.0429,0.8759999999999999,149.681,346160,1984-10-12,1984,10
0.000221,0.039,0.394,176.563,211667,1984-11-01,1984,11
0.000252,0.0382,0.7959999999999999,172.766,222493,1984-01-01,1984,1
0.0042,0.0396,0.841,108.334,412933,1984-01-01,1984,1
0.989,0.0498,0.0367,67.279,433888,1984-01-01,1984,1
0.199,0.0483,0.7070000000000001,128.037,228573,1984-03-13,1984,3
0.841,0.0338,0.504,137.209,100933,1984-01-01,1984,1
0.597,0.0423,0.682,109.402,268600,1984-04-03,1984,4
0.515,0.031,0.356,126.473,409920,1984-10-01,1984,10
0.38,0.0275,0.841,107.302,213733,1984-01-01,1984,1
0.0033,0.0339,0.305,141.347,259000,1984-10-01,1984,10
0.0013,0.0346,0.966,80.093,227720,1984-09-24,1984,9
0.7659999999999999,0.0234,0.303,82.117,276227,1984-11-01,1984,11
0.994,0.0425,0.478,76.042,154267,1984-01-01,1984,1
0.6809999999999999,0.0275,0.544,112.535,288720,1984-04-14,1984,4
0.147,0.0974,0.8340000000000001,88.245,223173,1984-05-29,1984,5
1.65e-06,0.0816,0.531,87.90100000000002,164093,1984-01-01,1984,1
0.919,0.0347,0.0441,99.853,244067,1984-11-01,1984,11
0.00258,0.0276,0.969,133.446,254200,1984-05-11,1984,5
0.381,0.0396,0.565,138.39600000000002,292240,1984-01-01,1984,1
0.15,0.0411,0.642,108.68,286400,1984-10-01,1984,10
0.906,0.0452,0.351,120.333,151307,1984-06-18,1984,6
0.0854,0.0605,0.738,120.712,243267,1984-01-01,1984,1
0.0118,0.0469,0.981,124.586,320840,1984-11-15,1984,11
0.147,0.0287,0.963,115.05,208120,1984-01-01,1984,1
0.0171,0.0399,0.389,140.612,180613,1984-05-10,1984,5
0.0133,0.0298,0.619,122.101,271307,1984-06-14,1984,6
0.168,0.0634,0.306,90.01299999999998,204627,1984-02-27,1984,2
0.0239,0.0511,0.5589999999999999,103.884,449960,1984-01-01,1984,1
0.112,0.0432,0.313,90.151,206173,1984-02-27,1984,2
0.107,0.119,0.887,143.546,251293,1984-06-01,1984,6
0.78,0.0509,0.1369999999999999,148.472,346467,1984-06-18,1984,6
0.339,0.0536,0.7340000000000001,116.135,179049,1984-01-01,1984,1
0.175,0.0325,0.967,153.507,231400,1984-03-13,1984,3
0.7340000000000001,0.0322,0.0691,109.536,233430,1984-04-01,1984,4
